country,2024
Belgium,1994.18
Bulgaria,477.04
Czechia,764.44
Denmark,2259.37
Germany,2054.00
Estonia,820.00
Ireland,2146.30
Greece,910.00
Spain,1323.00
France,1766.92
Croatia,840.00
Italy,1457.47
Cyprus,1000.00
Latvia,700.00
Lithuania,924.00
Luxembourg,2570.93
Hungary,696.97
Malta,925.34
Netherlands,2070.12
Austria,1766.92
Poland,977.53
Portugal,956.67
Romania,663.24
Slovenia,1253.90
Slovakia,750.00
Finland,1274.4
Sweden,1809.01
Iceland,2262.8
Liechtenstein,1321.6
Norway,1975.2
Switzerland,3242.3
United Kingdom,2017.9
Montenegro,532.54
North Macedonia,360
Albania,385.06
Serbia,543.64
TÃ¼rkiye,612.58
